Ten, Description, Birthday  ,  Nationality
"Tu-Victor Hugo","Victor Hugo (1802-1885) was a French poet" , "26 February 1802",  "French"  
"Tu-Charles Dickens"   , "Charles Dickens (1812-1870) was an English writer" ,   "7 February 1812"  ,  "English"
"Tu-Jane Austen" ,   "Jane Austen (1775-1817) was an English novelist" ,   "16 December 1775"  ,  "English"
"Tu-William Shakespeare"   , "William Shakespeare (1564-1616) was an English playwright"  ,  "26 April 1564"  ,  "English"
"Tu-Fyodor Dostoevsky"   , "Fyodor Dostoevsky (1821-1881) was a Russian novelist"  ,  "11 November 1821"   , "Russian"
"Tu-Leo Tolstoy"    ,"Leo Tolstoy (1828-1910) was a Russian writer"  ,  "9 September 1828"   , "Russian"
"Tu-George Orwell"   , "George Orwell (1903-1950) was an English novelist"    ,"25 June 1903" ,   "English"
"Tu-James Joyce"   , "James Joyce (1882-1941) was an Irish novelist" ,   "2 February 1882"   , "Irish"
"Tu-Edgar Allan Poe" ,  "Edgar Allan Poe (1809-1849) was an American writer"  ,  "19 January 1809"   , "American"
"Tu-Mark Twain"   , "Mark Twain (1835-1910) was an American writer"  ,  "30 November 1835"  ,  "American"
"Tu-Emily Dickinson" ,   "Emily Dickinson (1830-1886) was an American poet"  ,  "10 December 1830"  ,  "American"
"Tu-Edith Wharton"  ,  "Edith Wharton (1862-1937) was an American novelist"  ,  "24 January 1862" ,   "American"
"Tu-Charlotte Bronte" ,   "Charlotte Bronte (1816-1855) was an English novelist",    "21 April 1816"  ,  "English"
"Tu-Jack London"   , "Jack London (1876-1916) was an American writer"    ,"12 January 1876"   , "American"
"Tu-William Faulkner" ,   "William Faulkner (1897-1962) was an American writer" ,   "25 September 1897"  ,  "American"
"Tu-Joseph Conrad" ,   "Joseph Conrad (1857-1924) was a Polish-British writer"  ,  "3 December 1857"  ,  "Polish-British"
"Tu-Thomas Hardy"   , "Thomas Hardy (1840-1928) was an English novelist"   , "2 June 1840"   , "English"
"Tu-Herman Melville" ,   "Herman Melville (1819-1891) was an American novelist"  ,  "1 August 1819" ,   "American"
"Tu-George Eliot" ,   "George Eliot (1819-1880) was an English novelist" ,   "22 November 1819"  ,  "English"
"Tu-Agatha Christie" ,   "Agatha Christie (1890-1976) was an English writer"  ,  "15 September 1890"  ,  "English"